class_code,images,mean_brightness,median_brightness,brightness_std,dark_ratio,bright_ratio
D-42,240,118.18371597131093,137.86187744935353,57.85525888601939,0.09256594175075147,0.044227045923246666
B-22,168,118.50051012493316,123.93030031238284,58.86373964377812,0.07022759528366113,0.08503912845014197
A-6e,283,119.42156310469018,121.80545922808427,54.620691592617504,0.05743843875681471,0.09342517691819045
A-29,311,119.56837934696406,112.1119983893882,53.806703003273135,0.051662564007443984,0.02726370892255874
A-16,277,119.8760268490237,115.08509046506366,56.938788427772934,0.06690645436777154,0.03534591228992071
A-18b,534,119.89049140344399,112.12639801153976,53.289500602622155,0.048154960961057466,0.02281823989715546
A-17,251,120.06319994375525,113.90242113060211,54.25144059154617,0.043658595169601896,0.030400562428301237
B-21,168,120.47367420650664,124.76226988292876,61.238474039804366,0.06513123571028895,0.049306465164656706
A-32,252,121.70184018876817,116.5567176077101,52.012546792862906,0.035280480526191337,0.017859870356417038
A-1,245,124.3496603985222,122.37200170244489,52.694295240908254,0.054077436879034796,0.042682550377097506
B-18,41,124.38008099067503,127.86848021716607,57.18419958905476,0.04617007171512238,0.05984891762239031
A-6d,283,125.11056964725994,125.69155029863013,58.74624091239363,0.044167769380934085,0.026058236232163717
A-2,245,125.70194919352629,124.24729348396768,52.53403161496532,0.050544349927602705,0.05637512688686401
B-25,811,126.719282112639,127.81200706444304,60.22998629780498,0.044689479802822084,0.050904159910034705
B-1,38,126.97660175122712,133.118928808915,54.376283746016654,0.06370948539291049,0.019520533036306385
B-41,22,127.97592648592862,134.1550861705433,57.52728479558771,0.04630113301518279,0.033952642241920204
A-30,671,128.96198872055987,122.54029894514694,54.10782876135518,0.03884903216571801,0.045687633764598376
B-42,72,131.28062661488852,134.74695947435168,55.73290917608473,0.03845146011113118,0.05231914361374677
B-5,103,131.81480289199976,145.80293133189377,69.17445221687983,0.046281261033458324,0.06735357241117418
B-43,164,132.634110008798,150.89072594991543,54.74934119713016,0.04995856625028462,0.013723492139695216
B-6-B-8-B-9,29,132.82722894076645,145.05881973792768,64.99307553521518,0.024293954845253145,0.0486362329319061
B-26,91,132.88931022895562,135.76155903575184,61.138489985204004,0.03222251979134497,0.05966927579892772
A-7,776,136.11050051266386,127.34185576930489,53.51264582343937,0.025610575927157597,0.05690911657984002
A-20,48,138.05891040960947,138.49743310610452,57.38190050919851,0.03851389727608095,0.02224962499558152
B-27,133,138.1573194632853,146.48017989423937,60.41022981916155,0.0464697326879019,0.06739402719185553
D-2,261,140.4000622979526,135.67864323027746,64.54716060536119,0.056151954292314406,0.12096394957493431
B-34,82,141.50463485717773,143.0616592779392,58.110075880841514,0.040104539203024724,0.04212497820639783
B-9,82,142.1939756812119,147.16523370510194,56.11589701582746,0.01489420437215637,0.05636822921261483
D-1,903,142.50686901616365,141.40978225415463,50.596374561356285,0.0339399353375844,0.07271425160926538
A-8,152,142.5214746123866,141.0192005634308,59.82318643519753,0.021075008409318058,0.047331270557461946
A-24,25,145.66639999389648,142.53368553161621,61.73008255004883,0.022264595018938224,0.06137990120646495
B-44,102,148.7392542969947,164.4981243657131,58.94676503948137,0.039040994323358204,0.059916415893626375
D-52,35,151.99201006208148,176.14354727608816,59.47310703822544,0.0507518389698612,0.022512261703864868
D-53,37,156.57978862040753,176.15876522579708,54.997058404458535,0.011521306498160489,0.07466968844223767
G-3,24,170.7283420562744,184.76559352874756,49.005990505218506,0.011693661506121661,0.01616816878112459
